Date,QTY,Item,Serial,Location,Notes
2026-06-19,2,HP ProBook 430 G3 6th 7th,,A-2,
2026-06-19,2,HP EliteBook 840 G4 i7 6th,,C-1,
2026-06-19,5,HP EliteBook 850 G3 i5 6th,,C-2,
2026-06-19,2,HP EliteBook 840 G3 i5 6th,,C-7,
2026-06-19,2,HP ProBook 640 G2 i7 6th,,E-1,
2026-06-19,1,HP ProBook 430 G4 i5 7th,,E-2,
2026-06-19,6,HP ProBook 640 G2 i5 6th,,E-2,
2026-06-19,3,HP ProBook 650 G2 i5 6th,,E-2,
2026-06-19,2,HP ProBook 640 G3 i5 7th,,E-3,
2026-06-19,1,HP ProBook 640 G4 i5 7th,,E-3,
2026-06-19,46,HP Zbook G3 i7 6th,,E-9,
2026-06-19,3,HP EliteBook Folio 1040 G3 i5 6th,,F-1,
2026-06-19,6,Lenovo ThinkPad 470 i5 6th,,G-1,
2026-06-19,2,Lenovo ThinkPad X1 Carbon 15-G6,,G-1,
2026-06-19,1,Lenovo ThinkPad X1 Carbon i5-8th,,G-1,
2026-06-19,2,Lenovo ThinkPad X1 Carbon i7-8th,,G-1,
2026-06-19,9,Lenovo ThinkPad 460 i5 6th,,G-2,
2026-06-19,2,Lenovo ThinkPad 480 7th,,G-2,
2026-06-19,7,Lenovo ThinkPad 490 i5-8thth,,G-2,
2026-06-19,1,Lenovo ThinkPad 460 i7 6th,,G-3,
2026-06-19,5,Lenovo ThinkPad 470 i7 6th,,G-3,
2026-06-19,1,Lenovo ThinkPad AMD Ryzen Pro T495,,G-3,
,,,,,
2026-06-19,2,Lenovo Yoga ThinkPad 370 i5-7th,,I-1,
2026-06-19,1,Yoga Lenovo ThinkPad P-40,,I-1,
2026-06-19,1,Yoga Lenovo ThinkPad X-1 i7-8th,,I-1,
2026-06-19,1,Yoga Lenovo ThinkPad L-380 i5-8th,,I-1,
2026-06-19,4,Lenovo ThinkPad X260 i7-6th,,I-2,
2026-06-19,5,Lenovo ThinkPad X270 i7-6th,,I-2,
2026-06-19,1,Lenovo Flex 3 1580 i5-6th,,J-2,
2026-06-19,1,Lenovo Idea Pad Flex 4 1580 i7-7th,,J-2,
2026-06-19,1,Dell Latitude 3380 i5-7th,,K-2,
2026-06-19,2,Dell Latitude 3490 i5-8th,,K-2,
2026-06-19,1,Dell Latitude 3480 i5-7th,,K-2,
2026-06-19,1,Dell Latitude 3570 i7-6th,,K-1,
2026-06-19,1,Dell Latitude 3580 i5-7th,,K-2,
2026-06-19,2,Dell Latitude 3590 i5-8th,,K-2,
2026-06-19,1,Dell Latitude 5591 i7-8th,,L-2,
2026-06-19,2,Dell Latitude 5580 i5-8th,,L-2,
2026-06-19,11,Dell Latitude 5500 i5-8th,,L-2,
2026-06-19,2,Dell Latitude 5400 i5-8th,,L-2,
2026-06-19,15,Dell Latitude 5590 i5-8th,,L-2,
2026-06-19,2,Dell Latitude 5590 i7-8th,,L-3,
2026-06-19,1,Dell Latitude 7480 i5-8th,,L-1,
,,,,,
2026-06-18,4,HP ProBook 450-G3 6th-7th,,A-1,
2026-06-18,3,HP ProBook 650-G2 i7-6th,,A-2,
2026-06-18,1,HP ProBook 640-G1 i5-4th,,A-3,
2026-06-18,3,HP ProBook 640-G2 i5-6th,,B-2,
2026-06-18,4,HP ProBook 650-G2 i5-6th,,B-2,
2026-06-18,1,HP ProBook 650-G3 6th-7th,,B-3,
2026-06-18,2,HP EliteBook 840-G3 6th-7th,,C-1,
2026-06-18,6,HP ProBook 640-G2 i7-6th,,C-1,
2026-06-18,1,HP ProBook 640-G3 i7-7th,,C-1,
2026-06-18,10,HP EliteBook 850-G3 6th,,C-2,
2026-06-18,6,HP EliteBook 850-G4 7th,,C-2,
2026-06-18,1,HP 15 model bs070wm i5-7th,,C-3,
2026-06-18,1,HP 17 model by153cl i5-8th,,C-3,BROKEN HINGE
2026-06-18,2,HP NoteBook 15-ay053nr i5-6th,,C-3,
2026-06-18,1,HP Notebook 250-G7 i5-8th,,C-3,
2026-06-18,1,HP ProBook 640-G3 i5-7th,,C-3,
2026-06-18,3,HP ProBook 820-G3 6th-7th,,D-1,
2026-06-18,1,HP ProBook x360-440-G1 i5-8th,,E-1,
2026-06-18,1,HP Zbook G3 6th-7th,,E-1,
2026-06-18,1,HP ZBook G4 6th-7th,,E-1,
2026-06-18,1,HP Pavilion i5-7th,,E-4,
2026-06-18,1,HP EliteBook x360-1030-G4 i7-8th,,F-1,
2026-06-18,4,Dell Latitude 5480 i7-6th-7th,,L-3,
2026-06-18,2,Dell Latitude 5480 i7-7th,,L-3,CENTER
2026-06-18,10,Dell Latitude 5490 i5-8th,,L-G,HORSE SHOE
2026-06-18,20,Dell Latitude E5470 i5-6th,,M-1,BY 94
2026-06-18,13,Dell Latitude 5300 i5-8th,,M-2,
2026-06-18,14,Dell Latitude 7270 6th-7th,,M-3,
2026-06-18,2,Dell Latitude 7280 6th-7th,,M-3,
2026-06-18,2,Dell Latitude 7290 i5-8th,,M-3,
2026-06-18,16,Dell Latitude 7390 i5-8th,,M-3,
2026-06-18,20,Dell Latitude 5570 6th-7th,,O-1,
2026-06-18,10,Dell Latitude 5580 i7-7th,,O-1,
2026-06-18,2,Dell Precision 7510 6th-7th,,O-1,
2026-06-18,6,Dell Precision 7520 6th-7th,,O-1,
2026-06-18,7,Dell Latitude E7470 i5-6th,,O-G,FLOOR
,,,,,
2026-06-18,1,HP ProBook 650-G4 i5-8th,,??,
2026-06-18,2,HP ProBook 430 G3 i5-6th,,A-2,
2026-06-18,9,HP ProBook 640-G2 i7-6th,,B-1,
2026-06-18,5,HP ProBook 640-G3 i7-7th,,B-1,
2026-06-18,1,HP ProBook 640-G3 i7-7th,,B-1,
2026-06-18,7,HP ProBook 650-G2 i7-6th,,B-1,
2026-06-18,1,HP ProBook 650-G3 i7-7th,,B-1,
2026-06-18,6,HP ProBook 640-G2 i5-6th,,B-2,
2026-06-18,3,HP ProBook 640-G2 i5-6th,,B-2,
